Day,Len,State,EV,Dem,GOP,Date,Pollster
290.5,2,Florida,29,47,46,Oct 18,SurveyUSA-2
290.5,2,Florida,29,47,48,Oct 18,PPP-2
290.5,2,Florida,29,48,49,Oct 18,ORC International-2
288,3,Florida,29,47,44,Oct 16,Zogby-3
286,3,Florida,29,48,49,Oct 14,PPP-3
284,1,Florida,29,47,51,Oct 11,Rasmussen-1
282.5,4,Florida,29,46,49,Oct 11,ARG-4
282,3,Florida,29,44,51,Oct 10,Mason Dixon-3
281,3,Florida,29,48,47,Oct 09,Marist Coll.-3
278,9,Florida,29,49,45,Oct 09,U. of North Florida-9
277,1,Florida,29,47,49,Oct 04,Rasmussen-1
273.5,2,Florida,29,47,46,Oct 01,Marist Coll.-2
271.5,4,Florida,29,46,43,Sep 30,Suffolk U.-4
264.5,4,Florida,29,50,46,Sep 23,PPP-4
264,3,Florida,29,50,45,Sep 22,ARG-3
264,5,Florida,29,51,47,Sep 23,Washington Post-5
264,7,Florida,29,53,44,Sep 24,Quinnipiac U.-7
261,3,Florida,29,48,47,Sep 19,Mason Dixon-3
260,3,Florida,29,49,44,Sep 18,Fox News-3
260,5,Florida,29,47,48,Sep 19,Purple Strategies-5
255,1,Florida,29,48,46,Sep 12,Rasmussen-1
253,3,Florida,29,49,44,Sep 11,Marist Coll.-3
251,3,Florida,29,48,44,Sep 09,SurveyUSA-3
244,3,Florida,29,48,47,Sep 02,PPP-3
236,5,Florida,29,50,46,Aug 26,ORC International-5
230,7,Florida,29,49,46,Aug 21,Quinnipiac U.-7
227,1,Florida,29,43,45,Aug 15,Rasmussen-1
225.5,2,Florida,29,47,48,Aug 14,Purple Strategies-2
208.5,4,Florida,29,48,47,Jul 29,PPP-4
208,7,Florida,29,51,45,Jul 30,Quinnipiac U.-7
199,3,Florida,29,48,43,Jul 19,SurveyUSA-3
192,5,Florida,29,45,48,Jul 13,Purple Strategies-5
191,3,Florida,29,46,45,Jul 11,Mason Dixon-3
190,1,Florida,29,45,46,Jul 09,Rasmussen-1
173,7,Florida,29,45,41,Jun 25,Quinnipiac U.-7
166,7,Florida,29,46,42,Jun 18,Quinnipiac U.-7
153.5,6,Florida,29,45,49,Jun 05,Purple Strategies-6
152.5,4,Florida,29,50,46,Jun 03,PPP-4
138.5,4,Florida,29,48,44,May 20,Marist Coll.-4
138,7,Florida,29,41,47,May 21,Quinnipiac U.-7
127,3,Florida,29,46,45,May 08,Suffolk U.-3
118,7,Florida,29,43,44,May 01,Quinnipiac U.-7
115,1,Florida,29,45,46,Apr 25,Rasmussen-1
111,5,Florida,29,45,47,Apr 23,Purple Strategies-5
106,3,Florida,29,45,43,Apr 17,Fox News-3
103.5,4,Florida,29,50,45,Apr 15,PPP-4
82,7,Florida,29,49,42,Mar 26,Quinnipiac U.-7
72,1,Florida,29,46,43,Mar 13,Rasmussen-1
40,1,Florida,29,47,44,Feb 09,Rasmussen-1
26,3,Florida,29,49,41,Jan 27,Marist Coll.-3
25,3,Florida,29,44,48,Jan 26,Mason Dixon-3
23,3,Florida,29,42,47,Jan 24,Suffolk U.-3
21,5,Florida,29,45,45,Jan 23,Quinnipiac U.-5
6,5,Florida,29,43,46,Jan 08,Quinnipiac U.-5
1,1,Florida,29,51,48,Jan 01,Election 2008-1
299.5,4,Georgia,16,44,52,Oct 28,SurveyUSA-4
283,5,Georgia,16,43,51,Oct 12,Atlanta Journal-5
262,1,Georgia,16,35,56,Sep 19,Insider Advantage-1
204,1,Georgia,16,41,50,Jul 23,Insider Advantage-1
142,1,Georgia,16,40,52,May 22,Insider Advantage-1
57,7,Georgia,16,42,49,Feb 29,SurveyUSA-7
32.5,2,Georgia,16,43,51,Feb 02,SurveyUSA-2
1,1,Georgia,16,47,52,Jan 01,Election 2008-1
298,3,Hawaii,4,61,34,Oct 26,Merriman River Group-3
270,3,Hawaii,4,62,30,Sep 28,Merriman River Group-3
1,1,Hawaii,4,72,27,Jan 01,Election 2008-1
282,3,Idaho,4,27,63,Oct 10,Mason Dixon-3
1,1,Idaho,4,36,62,Jan 01,Election 2008-1
279,5,Illinois,20,55,36,Oct 08,Market Shares-5
250,7,Illinois,20,47,34,Sep 10,Southern Illinois U.-7
250,7,Illinois,20,47,34,Sep 10,Southern Illinois University-7
232,7,Illinois,20,55,29,Aug 23,IPSOS-7
200,7,Illinois,20,51,31,Jul 22,IPSOS-7
35,5,Illinois,20,56,35,Feb 06,Market Shares-5
1,1,Illinois,20,62,37,Jan 01,Election 2008-1
302,3,Indiana,11,41,51,Oct 30,Howey-DePauw-3
300,3,Indiana,11,42,55,Oct 28,Pharos Research Group-3
293,3,Indiana,11,38,51,Oct 21,Pharos Research Group-3
283.5,2,Indiana,11,41,54,Oct 11,Rasmussen-2
264,5,Indiana,11,40,52,Sep 23,Howey-DePauw-5
254,3,Indiana,11,41,47,Sep 12,Global Strategy-3
212.5,2,Indiana,11,35,51,Aug 01,Rasmussen-2
143.5,2,Indiana,11,42,48,May 24,Rasmussen-2
85.5,2,Indiana,11,40,49,Mar 27,Howey-DePauw-2
1,1,Indiana,11,50,49,Jan 01,Election 2008-1
304.5,4,Iowa,6,47,42,Nov 02,Selzer-4
303,1,Iowa,6,48,49,Oct 30,Rasmussen-1
303,3,Iowa,6,50,47,Oct 31,CallFire-3
302.5,2,Iowa,6,50,45,Oct 30,PPP-2
301.5,2,Iowa,6,50,44,Oct 29,Marist Coll.-2
296.5,2,Iowa,6,49,47,Oct 24,PPP-2
295.5,10,Iowa,6,44,45,Oct 27,U. of Iowa-10
294,1,Iowa,6,48,48,Oct 21,Rasmussen-1
291,3,Iowa,6,48,49,Oct 19,PPP-3
289,3,Iowa,6,51,43,Oct 17,Marist Coll.-3
285.5,4,Iowa,6,48,48,Oct 14,ARG-4
280,1,Iowa,6,49,47,Oct 07,Rasmussen-1
268,3,Iowa,6,51,44,Sep 26,PPP-3
267.5,4,Iowa,6,49,45,Sep 26,Selzer-4
264.5,4,Iowa,6,51,44,Sep 23,ARG-4
262,1,Iowa,6,44,47,Sep 19,Rasmussen-1
260,3,Iowa,6,50,42,Sep 18,Marist Coll.-3
236.5,4,Iowa,6,47,45,Aug 26,PPP-4
220,1,Iowa,6,44,46,Aug 08,Rasmussen-1
194.5,4,Iowa,6,48,43,Jul 15,PPP-4
162,1,Iowa,6,46,47,Jun 11,Rasmussen-1
143,3,Iowa,6,44,44,May 24,Marist Coll.-3
124.5,4,Iowa,6,51,41,May 06,PPP-4
44.5,4,Iowa,6,44,46,Feb 15,Selzer-4
1,1,Iowa,6,54,44,Jan 01,Election 2008-1
1,1,Kansas,6,42,57,Jan 01,Election 2008-1
255,3,Kentucky,8,39,53,Sep 13,SurveyUSA-3
1,1,Kentucky,8,41,57,Jan 01,Election 2008-1
272.5,2,Louisiana,8,37,50,Sep 30,Zogby-2
258.5,10,Louisiana,8,39,45,Sep 20,Southern Media + Opinion Research-10
1,1,Louisiana,8,40,59,Jan 01,Election 2008-1
305.5,2,Maine,4,55,42,Nov 02,PPP-2
303.5,2,Maine,4,49,42,Oct 31,Critical Insights-2
269,5,Maine,4,51,37,Sep 28,Pan Atlantic SMS-5
268,1,Maine,4,52,40,Sep 25,Rasmussen-1
260.5,2,Maine,4,55,39,Sep 18,PPP-2
259,3,Maine,4,54,37,Sep 17,Maine Peoples Res. Ctr.-3
257,5,Maine,4,52,36,Sep 16,Critical Insights-5
217.5,2,Maine,4,52,37,Aug 06,Moore Consulting-2
173.5,6,Maine,4,49,35,Jun 25,Critical Insights-6
164.5,2,Maine,4,48,34,Jun 14,MassINC-2
124.5,6,Maine,4,50,42,May 07,Critical Insights-6
91,3,Maine,4,55,37,Apr 02,Maine People Res. Ctr.-3
91,3,Maine,4,55,37,Apr 02,Maine Peoples Res. Ctr.-3
62,3,Maine,4,58,35,Mar 04,PPP-3
1,1,Maine,4,58,40,Jan 01,Election 2008-1
294.5,4,Maryland,10,55,36,Oct 23,OpinionWorks-4
286,5,Maryland,10,60,36,Oct 15,Washington Post-5
269,3,Maryland,10,57,34,Sep 27,OpinionWorks-3
263,7,Maryland,10,55,36,Sep 23,Gonzales Research-7
137.5,8,Maryland,10,58,35,May 21,PPP-8
1,1,Maryland,10,62,36,Jan 01,Election 2008-1
305.5,2,Massachusetts,11,57,42,Nov 02,PPP-2
299.5,4,Massachusetts,11,63,31,Oct 28,Suffolk U.-4
299,5,Massachusetts,11,56,39,Oct 28,U. of New Hampshire-5
298,1,Massachusetts,11,59,40,Oct 25,Rasmussen-1
294.5,2,Massachusetts,11,56,36,Oct 22,MassINC-2
288.5,2,Massachusetts,11,57,39,Oct 16,PPP-2
283,1,Massachusetts,11,57,42,Oct 10,Rasmussen-1
283,3,Massachusetts,11,55,41,Oct 11,PPP-3
279,3,Massachusetts,11,52,36,Oct 07,MassINC-3
278,7,Massachusetts,11,55,34,Oct 08,U. of Mass.-7
274,7,Massachusetts,11,63,33,Oct 04,Western New England U.-7
270.5,6,Massachusetts,11,60,34,Sep 30,Opinion Dynamics-6
270,3,Massachusetts,11,60,32,Sep 28,MassINC-3
267,1,Massachusetts,11,55,40,Sep 24,Rasmussen-1
267,7,Massachusetts,11,57,30,Sep 27,U. of New Hampshire-7
259,3,Massachusetts,11,59,31,Sep 17,MassINC-3
258,5,Massachusetts,11,59,36,Sep 17,U. of Mass.-5
257.5,4,Massachusetts,11,57,39,Sep 16,PPP-4
257.5,4,Massachusetts,11,64,31,Sep 16,Suffolk U.-4
229.5,4,Massachusetts,11,55,39,Aug 19,PPP-4
174,3,Massachusetts,11,55,39,Jun 24,PPP-3
150,3,Massachusetts,11,56,34,May 31,Western New England U.-3
148,7,Massachusetts,11,46,34,May 31,U. of New Hampshire-7
141,3,Massachusetts,11,59,34,May 22,Suffolk U.-3
127,1,Massachusetts,11,56,35,May 07,Rasmussen-1
99,1,Massachusetts,11,51,40,Apr 09,Rasmussen-1
83,7,Massachusetts,11,49,33,Mar 27,U. of New Hampshire-7
76,3,Massachusetts,11,58,35,Mar 18,PPP-3
60,1,Massachusetts,11,55,38,Feb 29,Rasmussen-1
57,7,Massachusetts,11,60,36,Mar 01,Western New England U.-7
44,5,Massachusetts,11,53,39,Feb 15,Suffolk U.-5
1,1,Massachusetts,11,62,36,Jan 01,Election 2008-1
306,3,Michigan,16,52,46,Nov 03,PPP-3
305,1,Michigan,16,52,47,Nov 01,Rasmussen-1
303.5,2,Michigan,16,53,45,Oct 31,PPP-2
300.5,4,Michigan,16,48,42,Oct 29,EPIC MRA-4
292,3,Michigan,16,59,39,Oct 20,Angus-Reid-3
290,1,Michigan,16,52,46,Oct 17,EPIC MRA-1
284,1,Michigan,16,52,45,Oct 11,Rasmussen-1
282.5,2,Michigan,16,44,41,Oct 10,Denno Research-2
278,3,Michigan,16,48,45,Oct 06,EPIC MRA-3
263,1,Michigan,16,54,42,Sep 20,Rasmussen-1
261,3,Michigan,16,51,42,Sep 19,PPP-3
259,5,Michigan,16,52,44,Sep 18,ORC International-5
255.5,6,Michigan,16,48,42,Sep 15,Marketing Resource Grp.-6
252.5,4,Michigan,16,47,37,Sep 11,EPIC MRA-4
244,3,Michigan,16,51,44,Sep 02,PPP-3
240,1,Michigan,16,49,46,Aug 28,EPIC MRA-1
235,1,Michigan,16,47,47,Aug 23,Mitchell Research-1
231,3,Michigan,16,48,42,Aug 20,Glengariff Group-3
225,1,Michigan,16,49,44,Aug 13,Mitchell Research-1
208.5,8,Michigan,16,48,42,Jul 31,EPIC MRA-8
204,1,Michigan,16,44,45,Jul 23,Mitchell Research-1
204,1,Michigan,16,48,42,Jul 23,Rasmussen-1
203,3,Michigan,16,53,39,Jul 23,PPP-3
175.5,2,Michigan,16,47,43,Jun 25,Marist Coll.-2
169,1,Michigan,16,47,46,Jun 18,Mitchell Research-1
165.5,2,Michigan,16,40,40,Jun 15,Denno Research-2
165,1,Michigan,16,50,42,Jun 14,Rasmussen-1
154.5,4,Michigan,16,45,46,Jun 05,EPIC MRA-4
145.5,4,Michigan,16,53,39,May 27,PPP-4
91.5,4,Michigan,16,47,43,Apr 03,EPIC MRA-4
50.5,2,Michigan,16,51,33,Feb 20,Marist Coll.-2
42,3,Michigan,16,54,38,Feb 12,PPP-3
23,5,Michigan,16,48,40,Jan 25,EPIC MRA-5
1,1,Michigan,16,57,41,Jan 01,Election 2008-1
306.5,2,Minnesota,10,53,45,Nov 03,PPP-2
304.5,2,Minnesota,10,53,44,Nov 01,PPP-2
300,3,Minnesota,10,50,43,Oct 28,SurveyUSA-3
297,3,Minnesota,10,47,44,Oct 25,Mason Dixon-3
294,1,Minnesota,10,51,46,Oct 21,Rasmussen-1
286,3,Minnesota,10,50,40,Oct 14,SurveyUSA-3
279.5,4,Minnesota,10,53,43,Oct 08,PPP-4
261,3,Minnesota,10,48,40,Sep 19,Mason Dixon-3
261,3,Minnesota,10,48,40,Sep 19,Star Tribune-3
253.5,2,Minnesota,10,51,44,Sep 11,PPP-2
250.5,4,Minnesota,10,50,40,Sep 09,SurveyUSA-4
199,3,Minnesota,10,46,40,Jul 19,SurveyUSA-3
152.5,4,Minnesota,10,54,39,Jun 03,PPP-4
129.5,2,Minnesota,10,52,38,May 10,SurveyUSA-2
32,3,Minnesota,10,49,36,Feb 02,SurveyUSA-3
21.5,2,Minnesota,10,51,41,Jan 22,PPP-2
1,1,Minnesota,10,54,44,Jan 01,Election 2008-1
1,1,Mississippi,6,43,56,Jan 01,Election 2008-1
297,3,Missouri,10,41,54,Oct 25,Mason Dixon-3
293,3,Missouri,10,46,52,Oct 21,PPP-3
290,1,Missouri,10,43,54,Oct 17,Rasmussen-1
275,1,Missouri,10,46,49,Oct 02,Rasmussen-1
275,3,Missouri,10,45,51,Oct 03,PPP-3
263,1,Missouri,10,44,50,Sep 20,Chilenski Strategies-1
254,1,Missouri,10,45,48,Sep 11,Rasmussen-1
240.5,2,Missouri,10,41,53,Aug 29,PPP-2
234.5,2,Missouri,10,43,50,Aug 23,Mason Dixon-2
234,1,Missouri,10,47,46,Aug 22,Rasmussen-1
232,1,Missouri,10,42,52,Aug 20,PPP-1
222.5,4,Missouri,10,44,45,Aug 12,SurveyUSA-4
220,1,Missouri,10,47,48,Aug 08,Chilenski Strategies-1
211,1,Missouri,10,44,50,Jul 30,Rasmussen-1
205,3,Missouri,10,42,51,Jul 25,Mason Dixon-3
158,1,Missouri,10,42,49,Jun 07,Rasmussen-1
145.5,4,Missouri,10,45,44,May 27,PPP-4
107,1,Missouri,10,45,48,Apr 17,Rasmussen-1
73,1,Missouri,10,41,50,Mar 14,Rasmussen-1
28,3,Missouri,10,45,45,Jan 29,PPP-3
1,1,Missouri,10,48,49,Jan 01,Election 2008-1
300,3,Montana,3,43,50,Oct 28,Pharos Research Group-3
293,3,Montana,3,41,47,Oct 21,Pharos Research Group-3
288.5,2,Montana,3,43,53,Oct 16,PPP-2
287,1,Montana,3,45,53,Oct 14,Rasmussen-1
282,3,Montana,3,41,52,Oct 10,PPP-3
261,3,Montana,3,42,51,Sep 19,Mason Dixon-3
253.5,2,Montana,3,45,50,Sep 11,PPP-2
232,1,Montana,3,38,55,Aug 20,Rasmussen-1
169,1,Montana,3,42,51,Jun 18,Rasmussen-1
122,1,Montana,3,44,51,May 02,Rasmussen-1
117.5,4,Montana,3,43,48,Apr 29,PPP-4
92,1,Montana,3,40,49,Apr 02,Rasmussen-1
53,1,Montana,3,41,48,Feb 22,Rasmussen-1
1,1,Montana,3,47,50,Jan 01,Election 2008-1
300,3,Nebraska,5,39,58,Oct 28,Pharos Research Group-3
297,3,Nebraska,5,40,54,Oct 25,Wiese Research Assoc.-3
293,3,Nebraska,5,41,51,Oct 21,Pharos Research Group-3
261.5,4,Nebraska,5,40,51,Sep 20,Wiese Research Assoc.-4
136,1,Nebraska,5,39,53,May 16,Rasmussen-1
82.5,4,Nebraska,5,39,51,Mar 25,PPP-4
64,1,Nebraska,5,35,52,Mar 05,Rasmussen-1
23.5,4,Nebraska,5,39,51,Jan 25,PPP-4
1,1,Nebraska,5,42,57,Jan 01,Election 2008-1
299,7,Nevada,6,50,46,Oct 29,SurveyUSA-7
297,3,Nevada,6,50,46,Oct 25,CallFire-3
296.5,2,Nevada,6,50,47,Oct 24,Marist Coll.-2
296,1,Nevada,6,50,48,Oct 23,Rasmussen-1
296,3,Nevada,6,51,47,Oct 24,PPP-3
293.5,4,Nevada,6,49,47,Oct 22,ARG-4
288,1,Nevada,6,50,47,Oct 15,Rasmussen-1
286,5,Nevada,6,48,45,Oct 15,SurveyUSA-5
282,3,Nevada,6,51,47,Oct 10,PPP-3
281,1,Nevada,6,47,47,Oct 08,Rasmussen-1
280.5,4,Nevada,6,47,45,Oct 09,Suffolk U.-4
278.5,6,Nevada,6,47,46,Oct 08,SurveyUSA-6
267,3,Nevada,6,49,47,Sep 25,Marist Coll.-3
264.5,4,Nevada,6,51,44,Sep 23,ARG-4
262,3,Nevada,6,52,43,Sep 20,PPP-3
261,1,Nevada,6,47,45,Sep 18,Rasmussen-1
259,5,Nevada,6,49,46,Sep 18,ORC International-5
236.5,4,Nevada,6,50,47,Aug 26,PPP-4
230.5,6,Nevada,6,47,45,Aug 21,SurveyUSA-6
205,1,Nevada,6,50,45,Jul 24,Rasmussen-1
159.5,4,Nevada,6,48,42,Jun 10,PPP-4
143,3,Nevada,6,48,46,May 24,Marist Coll.-3
120,1,Nevada,6,52,44,Apr 30,Rasmussen-1
89.5,4,Nevada,6,51,43,Apr 01,PPP-4
78,1,Nevada,6,50,44,Mar 19,Rasmussen-1
32,1,Nevada,6,53,44,Feb 01,Rasmussen-1
1,1,Nevada,6,55,43,Jan 01,Election 2008-1
305,3,New Hampshire,4,48,48,Nov 02,U. of New Hampshire-3
303,3,New Hampshire,4,50,44,Oct 31,New England College-3
301.5,2,New Hampshire,4,49,47,Oct 29,Marist Coll.-2
300,3,New Hampshire,4,49,47,Oct 28,PPP-3
297,3,New Hampshire,4,49,46,Oct 25,New England College-3
296,1,New Hampshire,4,48,50,Oct 23,Rasmussen-1
293.5,4,New Hampshire,4,47,49,Oct 22,ARG-4
292,5,New Hampshire,4,51,42,Oct 21,U. of New Hampshire-5
291,3,New Hampshire,4,48,49,Oct 19,PPP-3
288,1,New Hampshire,4,50,49,Oct 15,Rasmussen-1
286,3,New Hampshire,4,47,47,Oct 14,Suffolk U.-3
283,3,New Hampshire,4,46,50,Oct 11,ARG-3
282,1,New Hampshire,4,48,48,Oct 09,Rasmussen-1
276,7,New Hampshire,4,47,41,Oct 06,U. of New Hampshire-7
271.5,4,New Hampshire,4,54,39,Sep 30,U. of New Hampshire-4
269,3,New Hampshire,4,50,45,Sep 27,ARG-3
267.5,2,New Hampshire,4,51,44,Sep 25,PPP-2
267,3,New Hampshire,4,51,44,Sep 25,Marist Coll.-3
261,1,New Hampshire,4,45,48,Sep 18,Rasmussen-1
259,3,New Hampshire,4,48,46,Sep 17,ARG-3
250,7,New Hampshire,4,45,40,Sep 10,U. of New Hampshire-7
222.5,4,New Hampshire,4,51,45,Aug 12,PPP-4
219.5,2,New Hampshire,4,50,44,Aug 08,PPP-2
218.5,12,New Hampshire,4,49,46,Aug 12,U. of New Hampshire-12
191,11,New Hampshire,4,49,45,Jul 15,U. of New Hampshire-11
175.5,2,New Hampshire,4,45,45,Jun 25,Marist Coll.-2
173.5,4,New Hampshire,4,51,43,Jun 24,ARG-4
171,1,New Hampshire,4,48,43,Jun 20,Rasmussen-1
131.5,4,New Hampshire,4,53,41,May 13,PPP-4
104.5,12,New Hampshire,4,51,42,Apr 20,U. of New Hampshire-12
93.5,4,New Hampshire,4,42,44,Apr 05,Dartmouth College-4
75.5,4,New Hampshire,4,48,41,Mar 18,ARG-4
29,9,New Hampshire,4,50,40,Feb 02,U. of New Hampshire-9
1,1,New Hampshire,4,54,45,Jan 01,Election 2008-1
