State,Dem,GOP,Date,Pollster
Florida,48,44,Sep-09,SurveyUSA-3
Florida,48,47,Sep-02,PPP-3
Florida,50,46,Aug-26,ORC International-5
Florida,49,46,Aug-21,Quinnipiac U.-7
Florida,43,45,Aug-15,Rasmussen-1
Florida,47,48,Aug-14,Purple Strategies-2
Florida,48,47,Jul-29,PPP-4
Florida,51,45,Jul-30,Quinnipiac U.-7
Florida,48,43,Jul-19,SurveyUSA-3
Florida,45,48,Jul-13,Purple Strategies-5
Florida,46,45,Jul-11,Mason Dixon-3
Florida,45,46,Jul-09,Rasmussen-1
Florida,45,41,Jun-25,Quinnipiac U.-7
Florida,46,42,Jun-18,Quinnipiac U.-7
Florida,45,49,Jun-05,Purple Strategies-6
Florida,50,46,Jun-03,PPP-4
Florida,48,44,May-20,Marist Coll.-4
Florida,41,47,May-21,Quinnipiac U.-7
Florida,46,45,May-08,Suffolk U.-3
Florida,43,44,May-01,Quinnipiac U.-7
Florida,45,46,Apr-25,Rasmussen-1
Florida,45,47,Apr-23,Purple Strategies-5
Florida,45,43,Apr-17,Fox News-3
Florida,50,45,Apr-15,PPP-4
Florida,49,42,Mar-26,Quinnipiac U.-7
Florida,46,43,Mar-13,Rasmussen-1
Florida,47,44,Feb-09,Rasmussen-1
Florida,49,41,Jan-27,Marist Coll.-3
Florida,44,48,Jan-26,Mason Dixon-3
Florida,42,47,Jan-24,Suffolk U.-3
Florida,45,45,Jan-23,Quinnipiac U.-5
Florida,43,46,Jan-08,Quinnipiac U.-5
Florida,51,48,Jan-01,Election 2008-1
Georgia,54,42,Nov-01,Insider Advantage-1
Georgia,44,52,Oct-28,SurveyUSA-4
Georgia,43,51,Oct-12,Atlanta Journal-5
Georgia,35,56,Sep-19,Insider Advantage-1
Georgia,41,50,Jul-23,Insider Advantage-1
Georgia,40,52,May-22,Insider Advantage-1
Georgia,42,49,Feb-29,SurveyUSA-7
Georgia,43,51,Feb-02,SurveyUSA-2
Georgia,47,52,Jan-01,Election 2008-1
Hawaii,61,34,Oct-26,Merriman River Group-3
Hawaii,62,30,Sep-28,Merriman River Group-3
Hawaii,72,27,Jan-01,Election 2008-1
Idaho,27,63,Oct-10,Mason Dixon-3
Idaho,36,62,Jan-01,Election 2008-1
Illinois,55,36,Oct-08,Market Shares-5
Illinois,47,34,Sep-10,Southern Illinois U.-7
Illinois,47,34,Sep-10,Southern Illinois University-7
Illinois,55,29,Aug-23,IPSOS-7
Illinois,51,31,Jul-22,IPSOS-7
Illinois,56,35,Feb-06,Market Shares-5
Illinois,62,37,Jan-01,Election 2008-1
Indiana,43,52,Nov-01,Rasmussen-1
Indiana,41,51,Oct-30,Howey-DePauw-3
Indiana,42,55,Oct-28,Pharos Research Group-3
Indiana,38,51,Oct-21,Pharos Research Group-3
Indiana,41,54,Oct-11,Rasmussen-2
Indiana,40,52,Sep-23,Howey-DePauw-5
Indiana,41,47,Sep-12,Global Strategy-3
Indiana,35,51,Aug-01,Rasmussen-2
Indiana,42,48,May-24,Rasmussen-2
Indiana,40,49,Mar-27,Howey-DePauw-2
Indiana,50,49,Jan-01,Election 2008-1
Iowa,50,48,Nov-04,PPP-2
Iowa,48,49,Nov-04,ARG-3
Iowa,47,42,Nov-02,Selzer-4
Iowa,48,49,Oct-30,Rasmussen-1
Iowa,50,47,Oct-31,CallFire-3
Iowa,50,45,Oct-30,PPP-2
Iowa,50,44,Oct-29,Marist Coll.-2
Iowa,49,47,Oct-24,PPP-2
Iowa,44,45,Oct-27,U. of Iowa-10
Iowa,48,48,Oct-21,Rasmussen-1
Iowa,48,49,Oct-19,PPP-3
Iowa,51,43,Oct-17,Marist Coll.-3
Iowa,48,48,Oct-14,ARG-4
Iowa,49,47,Oct-07,Rasmussen-1
Iowa,51,44,Sep-26,PPP-3
Iowa,49,45,Sep-26,Selzer-4
Iowa,51,44,Sep-23,ARG-4
Iowa,44,47,Sep-19,Rasmussen-1
Iowa,50,42,Sep-18,Marist Coll.-3
Iowa,47,45,Aug-26,PPP-4
Iowa,44,46,Aug-08,Rasmussen-1
Iowa,48,43,Jul-15,PPP-4
Iowa,46,47,Jun-11,Rasmussen-1
Iowa,44,44,May-24,Marist Coll.-3
Iowa,51,41,May-06,PPP-4
Iowa,44,46,Feb-15,Selzer-4
Iowa,54,44,Jan-01,Election 2008-1
Kansas,42,57,Jan-01,Election 2008-1
Kentucky,39,53,Sep-13,SurveyUSA-3
Kentucky,41,57,Jan-01,Election 2008-1
Louisiana,37,50,Sep-30,Zogby-2
Louisiana,39,45,Sep-20,Southern Media + Opinion Research-10
Louisiana,40,59,Jan-01,Election 2008-1
Maine,55,42,Nov-02,PPP-2
Maine,49,42,Oct-31,Critical Insights-2
Maine,51,37,Sep-28,Pan Atlantic SMS-5
Maine,52,40,Sep-25,Rasmussen-1
Maine,55,39,Sep-18,PPP-2
Maine,54,37,Sep-17,Maine Peoples Res. Ctr.-3
Maine,52,36,Sep-16,Critical Insights-5
Maine,52,37,Aug-06,Moore Consulting-2
Maine,49,35,Jun-25,Critical Insights-6
Maine,48,34,Jun-14,MassINC-2
Maine,50,42,May-07,Critical Insights-6
Maine,55,37,Apr-02,Maine People Res. Ctr.-3
Maine,55,37,Apr-02,Maine Peoples Res. Ctr.-3
Maine,58,35,Mar-04,PPP-3
Maine,58,40,Jan-01,Election 2008-1
Maryland,55,36,Oct-23,OpinionWorks-4
Maryland,60,36,Oct-15,Washington Post-5
Maryland,57,34,Sep-27,OpinionWorks-3
Maryland,55,36,Sep-23,Gonzales Research-7
Maryland,58,35,May-21,PPP-8
Maryland,62,36,Jan-01,Election 2008-1
Massachusetts,57,42,Nov-02,PPP-2
Massachusetts,57,37,Nov-03,Princeton Survey-4
Massachusetts,57,37,Nov-03,U. of Mass.-4
Massachusetts,58,40,Nov-01,Western New England U.-7
Massachusetts,63,31,Oct-28,Suffolk U.-4
Massachusetts,56,39,Oct-28,U. of New Hampshire-5
Massachusetts,59,40,Oct-25,Rasmussen-1
Massachusetts,56,36,Oct-22,MassINC-2
Massachusetts,57,39,Oct-16,PPP-2
Massachusetts,57,42,Oct-10,Rasmussen-1
Massachusetts,55,41,Oct-11,PPP-3
Massachusetts,52,36,Oct-07,MassINC-3
Massachusetts,55,34,Oct-08,U. of Mass.-7
Massachusetts,63,33,Oct-04,Western New England U.-7
Massachusetts,60,34,Sep-30,Opinion Dynamics-6
Massachusetts,60,32,Sep-28,MassINC-3
Massachusetts,55,40,Sep-24,Rasmussen-1
Massachusetts,57,30,Sep-27,U. of New Hampshire-7
Massachusetts,59,31,Sep-17,MassINC-3
Massachusetts,59,36,Sep-17,U. of Mass.-5
Massachusetts,57,39,Sep-16,PPP-4
Massachusetts,64,31,Sep-16,Suffolk U.-4
Massachusetts,55,39,Aug-19,PPP-4
Massachusetts,55,39,Jun-24,PPP-3
Massachusetts,56,34,May-31,Western New England U.-3
Massachusetts,46,34,May-31,U. of New Hampshire-7
Massachusetts,59,34,May-22,Suffolk U.-3
Massachusetts,56,35,May-07,Rasmussen-1
Massachusetts,51,40,Apr-09,Rasmussen-1
Massachusetts,49,33,Mar-27,U. of New Hampshire-7
Massachusetts,58,35,Mar-18,PPP-3
Massachusetts,55,38,Feb-29,Rasmussen-1
Massachusetts,60,36,Mar-01,Western New England U.-7
Massachusetts,53,39,Feb-15,Suffolk U.-5
Massachusetts,62,36,Jan-01,Election 2008-1
Michigan,52,46,Nov-03,PPP-3
Michigan,52,47,Nov-01,Rasmussen-1
Michigan,53,45,Oct-31,PPP-2
Michigan,48,42,Oct-29,EPIC MRA-4
Michigan,59,39,Oct-20,Angus-Reid-3
Michigan,52,46,Oct-17,EPIC MRA-1
Michigan,52,45,Oct-11,Rasmussen-1
Michigan,44,41,Oct-10,Denno Research-2
Michigan,48,45,Oct-06,EPIC MRA-3
Michigan,54,42,Sep-20,Rasmussen-1
Michigan,51,42,Sep-19,PPP-3
Michigan,52,44,Sep-18,ORC International-5
Michigan,48,42,Sep-15,Marketing Resource Grp.-6
Michigan,47,37,Sep-11,EPIC MRA-4
Michigan,51,44,Sep-02,PPP-3
Michigan,49,46,Aug-28,EPIC MRA-1
Michigan,47,47,Aug-23,Mitchell Research-1
Michigan,48,42,Aug-20,Glengariff Group-3
Michigan,49,44,Aug-13,Mitchell Research-1
Michigan,48,42,Jul-31,EPIC MRA-8
Michigan,44,45,Jul-23,Mitchell Research-1
Michigan,48,42,Jul-23,Rasmussen-1
Michigan,53,39,Jul-23,PPP-3
Michigan,47,43,Jun-25,Marist Coll.-2
Michigan,47,46,Jun-18,Mitchell Research-1
Michigan,40,40,Jun-15,Denno Research-2
Michigan,50,42,Jun-14,Rasmussen-1
Michigan,45,46,Jun-05,EPIC MRA-4
Michigan,53,39,May-27,PPP-4
Michigan,47,43,Apr-03,EPIC MRA-4
Michigan,51,33,Feb-20,Marist Coll.-2
Michigan,54,38,Feb-12,PPP-3
Michigan,48,40,Jan-25,EPIC MRA-5
Michigan,57,41,Jan-01,Election 2008-1
Minnesota,53,45,Nov-03,PPP-2
Minnesota,52,41,Nov-03,SurveyUSA-3
Minnesota,50,43,Oct-28,SurveyUSA-3
Minnesota,47,44,Oct-25,Mason Dixon-3
Minnesota,51,46,Oct-21,Rasmussen-1
Minnesota,50,40,Oct-14,SurveyUSA-3
Minnesota,53,43,Oct-08,PPP-4
Minnesota,48,40,Sep-19,Mason Dixon-3
Minnesota,48,40,Sep-19,Star Tribune-3
Minnesota,51,44,Sep-11,PPP-2
Minnesota,50,40,Sep-09,SurveyUSA-4
Minnesota,46,40,Jul-19,SurveyUSA-3
Minnesota,54,39,Jun-03,PPP-4
Minnesota,52,38,May-10,SurveyUSA-2
Minnesota,49,36,Feb-02,SurveyUSA-3
Minnesota,51,41,Jan-22,PPP-2
Minnesota,54,44,Jan-01,Election 2008-1
Mississippi,43,56,Jan-01,Election 2008-1
Missouri,45,53,Nov-03,PPP-2
Missouri,43,50,Nov-03,SurveyUSA-7
Missouri,41,54,Oct-25,Mason Dixon-3
Missouri,46,52,Oct-21,PPP-3
Missouri,43,54,Oct-17,Rasmussen-1
Missouri,46,49,Oct-02,Rasmussen-1
Missouri,45,51,Oct-03,PPP-3
Missouri,44,50,Sep-20,Chilenski Strategies-1
Missouri,45,48,Sep-11,Rasmussen-1
Missouri,41,53,Aug-29,PPP-2
Missouri,43,50,Aug-23,Mason Dixon-2
Missouri,47,46,Aug-22,Rasmussen-1
Missouri,42,52,Aug-20,PPP-1
Missouri,44,45,Aug-12,SurveyUSA-4
Missouri,47,48,Aug-08,Chilenski Strategies-1
Missouri,44,50,Jul-30,Rasmussen-1
Missouri,42,51,Jul-25,Mason Dixon-3
Missouri,42,49,Jun-07,Rasmussen-1
Missouri,45,44,May-27,PPP-4
Missouri,45,48,Apr-17,Rasmussen-1
Missouri,41,50,Mar-14,Rasmussen-1
Missouri,45,45,Jan-29,PPP-3
Missouri,48,49,Jan-01,Election 2008-1
Montana,45,52,Nov-03,PPP-2
Montana,43,53,Oct-31,Mason Dixon-3
Montana,43,53,Oct-29,Rasmussen-1
Montana,43,50,Oct-28,Pharos Research Group-3
Montana,41,47,Oct-21,Pharos Research Group-3
Montana,43,53,Oct-16,PPP-2
Montana,45,53,Oct-14,Rasmussen-1
Montana,41,52,Oct-10,PPP-3
Montana,42,51,Sep-19,Mason Dixon-3
Montana,45,50,Sep-11,PPP-2
Montana,38,55,Aug-20,Rasmussen-1
Montana,42,51,Jun-18,Rasmussen-1
Montana,44,51,May-02,Rasmussen-1
Montana,43,48,Apr-29,PPP-4
Montana,40,49,Apr-02,Rasmussen-1
Montana,41,48,Feb-22,Rasmussen-1
Montana,47,50,Jan-01,Election 2008-1
Nebraska,39,58,Oct-28,Pharos Research Group-3
Nebraska,40,54,Oct-25,Wiese Research Assoc.-3
Nebraska,41,51,Oct-21,Pharos Research Group-3
Nebraska,40,51,Sep-20,Wiese Research Assoc.-4
Nebraska,39,53,May-16,Rasmussen-1
Nebraska,39,51,Mar-25,PPP-4
Nebraska,35,52,Mar-05,Rasmussen-1
Nebraska,39,51,Jan-25,PPP-4
Nebraska,42,57,Jan-01,Election 2008-1
Nevada,51,47,Nov-04,PPP-2
Nevada,50,46,Oct-29,SurveyUSA-7
Nevada,50,46,Oct-25,CallFire-3
Nevada,50,47,Oct-24,Marist Coll.-2
Nevada,50,48,Oct-23,Rasmussen-1
Nevada,51,47,Oct-24,PPP-3
Nevada,49,47,Oct-22,ARG-4
Nevada,50,47,Oct-15,Rasmussen-1
Nevada,48,45,Oct-15,SurveyUSA-5
Nevada,51,47,Oct-10,PPP-3
Nevada,47,47,Oct-08,Rasmussen-1
Nevada,47,45,Oct-09,Suffolk U.-4
Nevada,47,46,Oct-08,SurveyUSA-6
Nevada,49,47,Sep-25,Marist Coll.-3
Nevada,51,44,Sep-23,ARG-4
Nevada,52,43,Sep-20,PPP-3
Nevada,47,45,Sep-18,Rasmussen-1
Nevada,49,46,Sep-18,ORC International-5
Nevada,50,47,Aug-26,PPP-4
Nevada,47,45,Aug-21,SurveyUSA-6
Nevada,50,45,Jul-24,Rasmussen-1
Nevada,48,42,Jun-10,PPP-4
Nevada,48,46,May-24,Marist Coll.-3
Nevada,52,44,Apr-30,Rasmussen-1
Nevada,51,43,Apr-01,PPP-4
Nevada,50,44,Mar-19,Rasmussen-1
Nevada,53,44,Feb-01,Rasmussen-1
Nevada,55,43,Jan-01,Election 2008-1
New Hampshire,50,48,Nov-04,Rasmussen-1
New Hampshire,50,46,Nov-04,New England College-2
New Hampshire,50,48,Nov-04,PPP-2
New Hampshire,49,49,Nov-04,ARG-3
New Hampshire,51,48,Nov-04,U. of New Hampshire-4
New Hampshire,48,48,Nov-02,U. of New Hampshire-3
New Hampshire,50,44,Oct-31,New England College-3
New Hampshire,49,47,Oct-29,Marist Coll.-2
New Hampshire,49,47,Oct-28,PPP-3
New Hampshire,49,46,Oct-25,New England College-3
New Hampshire,48,50,Oct-23,Rasmussen-1
New Hampshire,47,49,Oct-22,ARG-4
New Hampshire,51,42,Oct-21,U. of New Hampshire-5
New Hampshire,48,49,Oct-19,PPP-3
New Hampshire,50,49,Oct-15,Rasmussen-1
New Hampshire,47,47,Oct-14,Suffolk U.-3
New Hampshire,46,50,Oct-11,ARG-3
New Hampshire,48,48,Oct-09,Rasmussen-1
New Hampshire,47,41,Oct-06,U. of New Hampshire-7
New Hampshire,54,39,Sep-30,U. of New Hampshire-4
New Hampshire,50,45,Sep-27,ARG-3
New Hampshire,51,44,Sep-25,PPP-2
New Hampshire,51,44,Sep-25,Marist Coll.-3
New Hampshire,45,48,Sep-18,Rasmussen-1
New Hampshire,48,46,Sep-17,ARG-3
New Hampshire,45,40,Sep-10,U. of New Hampshire-7
New Hampshire,51,45,Aug-12,PPP-4
New Hampshire,50,44,Aug-08,PPP-2
New Hampshire,49,46,Aug-12,U. of New Hampshire-12
New Hampshire,49,45,Jul-15,U. of New Hampshire-11
New Hampshire,45,45,Jun-25,Marist Coll.-2
New Hampshire,51,43,Jun-24,ARG-4
New Hampshire,48,43,Jun-20,Rasmussen-1
New Hampshire,53,41,May-13,PPP-4
New Hampshire,51,42,Apr-20,U. of New Hampshire-12
New Hampshire,42,44,Apr-05,Dartmouth College-4
New Hampshire,48,41,Mar-18,ARG-4
New Hampshire,50,40,Feb-02,U. of New Hampshire-9
New Hampshire,54,45,Jan-01,Election 2008-1
New Jersey,51,41,Oct-25,Global Strategy-3
New Jersey,54,40,Oct-18,SurveyUSA-2
New Jersey,53,38,Oct-18,Richard Stockton College-7
New Jersey,51,43,Oct-14,Quinnipiac U.-5
New Jersey,51,40,Oct-08,Global Strategy-5
New Jersey,56,39,Sep-30,Rutgers-Eagleton-4
New Jersey,52,37,Sep-23,Monmouth U.-5
New Jersey,51,37,Sep-12,Global Strategy-4
New Jersey,52,38,Sep-12,Fairleigh Dickinson U.-7
New Jersey,51,44,Sep-02,Quinnipiac U.-7
New Jersey,51,37,Aug-25,Rutgers-Eagleton-3
New Jersey,49,36,Jul-29,Fairleigh Dickinson U.-7
New Jersey,50,42,Jul-22,Monmouth U.-5
New Jersey,49,38,Jul-15,Quinnipiac U.-7
New Jersey,56,33,Jun-04,Rutgers-Eagleton-5
New Jersey,49,39,May-14,Quinnipiac U.-6
New Jersey,50,36,May-06,Fairleigh Dickinson U.-7
New Jersey,49,40,Apr-09,Quinnipiac U.-7
New Jersey,50,37,Mar-11,Fairleigh Dickinson U.-7
New Jersey,52,38,Feb-26,SurveyUSA-3
New Jersey,49,39,Feb-27,Quinnipiac U.-7
New Jersey,56,31,Feb-11,Rutgers-Eagleton-3
New Jersey,48,38,Jan-16,Quinnipiac U.-7
New Jersey,52,37,Jan-09,PPP-4
New Jersey,57,42,Jan-01,Election 2008-1
New Mexico,50,41,Oct-25,Research and Polling-3
New Mexico,53,44,Oct-24,PPP-2
New Mexico,49,39,Oct-11,Research and Polling-3
New Mexico,54,43,Oct-08,Rasmussen-1
New Mexico,52,43,Oct-03,PPP-2
New Mexico,51,40,Sep-27,Rasmussen-1
New Mexico,53,42,Sep-09,PPP-3
New Mexico,45,40,Sep-06,Research and Polling-4
New Mexico,52,38,Aug-21,Rasmussen-1
New Mexico,49,44,Jul-16,PPP-4
New Mexico,54,40,Apr-22,PPP-4
New Mexico,52,36,Apr-03,Rasmussen-1
New Mexico,55,36,Feb-14,Rasmussen-1
New Mexico,57,42,Jan-01,Election 2008-1
New York,62,33,Oct-25,SurveyUSA-3
New York,59,35,Oct-24,Siena Coll.-3
New York,61,35,Oct-21,Marist Coll.-4
New York,62,34,Sep-09,Quinnipiac U.-6
New York,62,33,Aug-19,Siena Coll.-6
New York,55,32,Jul-23,Quinnipiac U.-7
New York,61,34,Jul-15,Siena Coll.-6
New York,59,35,Jun-06,Siena Coll.-4
New York,56,31,May-28,Quinnipiac U.-7
New York,57,37,May-10,Siena Coll.-5
New York,57,35,Apr-12,Marist Coll.-3
New York,60,35,Apr-04,Siena Coll.-4
New York,56,33,Apr-02,Quinnipiac U.-6
New York,60,34,Feb-29,Siena Coll.-4
New York,60,30,Feb-26,SurveyUSA-3
New York,52,35,Feb-13,Quinnipiac U.-6
New York,63,31,Feb-01,Siena Coll.-4
New York,58,35,Jan-19,Marist Coll.-2
New York,63,36,Jan-01,Election 2008-1
North Carolina,49,49,Nov-04,PPP-2
North Carolina,49,49,Oct-31,PPP-3
North Carolina,45,50,Oct-29,SurveyUSA-4
North Carolina,45,46,Oct-30,High Point University-9
North Carolina,46,52,Oct-25,Rasmussen-1
North Carolina,48,48,Oct-25,PPP-3
North Carolina,45,45,Oct-26,Elon U.-6
North Carolina,46,52,Oct-17,Rasmussen-1
North Carolina,47,49,Oct-14,PPP-3
North Carolina,48,51,Oct-09,Rasmussen-1
North Carolina,46,45,Oct-10,High Point University-12
North Carolina,47,51,Oct-02,Rasmussen-1
North Carolina,49,47,Oct-01,SurveyUSA-3
North Carolina,46,50,Sep-30,ARG-3
North Carolina,48,48,Sep-30,PPP-4
North Carolina,48,46,Sep-25,Marist Coll.-3
North Carolina,48,46,Sep-19,Purple Strategies-5
North Carolina,45,51,Sep-13,Rasmussen-1
North Carolina,46,43,Sep-18,High Point University-11
North Carolina,49,48,Sep-09,PPP-3
North Carolina,43,53,Sep-06,SurveyUSA-3
North Carolina,48,48,Sep-02,PPP-3
North Carolina,43,46,Aug-30,SurveyUSA-5
North Carolina,43,47,Aug-30,Elon U.-6
North Carolina,47,48,Aug-26,ORC International-5
North Carolina,43,43,Aug-23,SurveyUSA-6
North Carolina,49,46,Aug-05,PPP-4
North Carolina,44,49,Aug-01,Rasmussen-1
North Carolina,47,46,Jul-08,PPP-4
North Carolina,48,49,Jul-08,Project New America-8
North Carolina,45,50,Jul-01,SurveyUSA-3
North Carolina,44,47,Jun-25,Rasmussen-1
North Carolina,46,44,Jun-25,Marist Coll.-2
North Carolina,46,48,Jun-10,PPP-4
North Carolina,44,45,May-21,SurveyUSA-4
North Carolina,43,51,May-14,Rasmussen-1
North Carolina,48,47,May-13,PPP-4
North Carolina,47,43,Apr-30,SurveyUSA-5
North Carolina,44,46,Apr-10,Rasmussen-1
North Carolina,49,44,Apr-07,PPP-4
North Carolina,47,47,Apr-05,Marist Coll.-4
